Source,Number,In DB,In Checklist
archiv,48130,,
BGU 1,95040,,
BGU 10,7513,,
BGU 11,46036,,
BGU 11,47013,,
BGU 12,8328,,
BGU 13,8779,,
BGU 14,9410,,
BGU 15,10276,,
BGU 16,13861,,
BGU 17,16619,,
BGU 18.1,16165,,
BGU 19,18710,,
BGU 2,95043,,
BGU 20,95275,,
BGU 3,95044,,
BGU 4,95045,,
BGU 5,3315,,
BGU 5.1,95046,,
BGU 6,95047,,
BGU 7,95048,,
BGU 8,3169,,
BGU 9,3633,,
BKT 1,95049,,
BKT 10,81824,,
BKT 2,95050,,
BKT 2,95256,,
BKT 3,95051,,
BKT 4,95052,,
BKT 5.1,95253,,
BKT 5.2,95254,,
BKT 6,95053,,
BKT 7,95054,,
BKT 8,3904,,
BKT 9,14433,,
BKU 1,95055,,
BKU 2,95056,,
BKU 3,95042,,
C.Gloss.Biling. 1,10242,,
C.Gloss.Biling. 2,16521,,
C.Illum.Pap. 1,12796,,
C.Ord.Ptol.,6579,,
CPR 1,95057,,
CPR 10,11072,,
CPR 12,95041,,
CPR 13,11274,,
CPR 14,11759,,
CPR 15,12212,,
CPR 16,95058,,
CPR 17A,12599,,
CPR 17B,12560,,
CPR 18,12469,,
CPR 19,18092,,
CPR 2,95059,,
CPR 20,95060,,
CPR 21,95061,,
CPR 22,16831,,
CPR 23,17261,,
CPR 24,17079,,
CPR 25,19306,,
CPR 26,95062,,
CPR 27,95063,,
CPR 28,20504,,
CPR 29,21315,,
CPR 3,95064,,
CPR 30,21293,,
CPR 31,21383,,
CPR 32,81039,,
CPR 4,95065,,
CPR 6,9105,,
CPR 6,57217,,
CPR 7,9385,,
CPR 8,10333,,
CPR 9,10446,,
MPER N.S. 13,9672,,
MPER N.S. 17,13367,,
MPER N.S. 31,20408,,
MPER N.S. 4,4258,,
O.AbuMina,20517,,
O.Amst.,8755,,
O.Ashm.,95339,,
O.Ashm.Copt.,95323,,
O.Ashm.Shelt.,11617,,
O.Bankes,95295,,
O.Bawit,15676,,
O.BawitIFAO,17875,,
O.Berenike 1,68842,,
O.Berenike 2,18436,,
O.Berenike 3,95296,,
O.Bodl. 1,95300,,
O.Bodl. 2,5277,,
O.Bodl. 3,6639,,
O.Brit.Mus.Copt. 1,95312,,
O.Brux.,8964,,
O.Buch.,3272,,
O.BuNjem,12883,,
O.Cair.,11011,,
O.Cair.Cat.,10358,,
O.Cair.Monuments,95301,,
O.Camb.,95337,,
O.Chic.Muhs,18748,,
O.Claud. 1,12673,,
O.Claud. 2,14684,,
O.Claud. 3,15951,,
O.Claud. 4,20700,,
O.Cret.Chers.,20518,,
O.Crum,95299,,
O.CrumST,95302,,
O.CrumVC,95316,,
O.Deir el-Bahari,95317,,
O.Deiss,95209,,
O.Did.,81797,,
O.Dime,95066,,
O.Douch 1,10980,,
O.Douch 2,11447,,
O.Douch 3,12727,,
O.Douch 4,15849,,
O.Douch 5,16707,,
O.Edfou 1,95332,,
O.Edfou 2,95333,,
O.Edfou 3,95334,,
O.EdfouIFAO,21024,,
O.Elkab,11701,,
O.Erem.,95318,,
O.Fay,95314,,
O.Florida,8753,,
O.Frangé,21498,,
O.Heid.,18426,,
O.Hor,8888,,
O.Joach.,95319,,
O.Kellis,18379,,
O.Krok. 1,18535,,
O.Leid.,9394,,
O.Leid.Dem.,95321,,
O.Lips. 1,95327,,
O.Lips.Copt.,95320,,
O.Louvre 1,95324,,
O.Lund.,9371,,
O.Magnien,95325,,
O.Masada,95313,,
O.Mattha,95305,,
O.Medin.HabuCopt.,95304,,
O.Medin.HabuDem.,95303,,
O.Medin.Madi,8781,,
O.Métrologie,95322,,
O.Mich. 1,3335,,
O.Mich. 2,95335,,
O.Mich. 3,95336,,
O.Mich. 4,51150,,
O.Mich.Copt.,95328,,
O.Mich.Copt.Etmoulon,95329,,
O.Minor,95338,,
O.Mon.Phoib.,6772,,
O.Muhs,14493,,
O.Nancy,95331,,
O.Narm. 1,13309,,
O.Narm.Dem. 1,10361,,
O.Narm.Dem. 2,14778,,
O.Narm.Dem. 3,18732,,
O.Oasis,11376,,
O.Ont.Mus. 1,7745,,
O.Ont.Mus. 2,8754,,
O.Oslo,3109,,
O.Paris,95330,,
O.Petr.,95340,,
O.Petr.Mus.,82190,,
O.Quseir,95311,,
O.ROM 1,7745,,
O.ROM 2,8754,,
O.Saint-Marc,95326,,
O.Stras. 1,95308,,
O.Stras. 2,20775,,
O.Taxes,79299,,
O.Tebt.Pad. 1,9261,,
O.Tempeleide,95309,,
O.Theb.,95306,,
O.Trim. 1,80208,,
O.Trim. 2,95297,,
O.Vind.Copt.,95310,,
O.Vleem.,13789,,
O.WadiHamm.,63166,,
O.Wångstedt,95315,,
O.Waqfa,13115,,
O.Wilb.,3401,,
O.Wilck.,7585,,
O.Zauzich,95341,,
O.Zürich,6802,,
P. Med. 1,6859,,
P. Vindob. Worp,7976,,
P.Aberd.,3909,,
P.Abinn.,6212,,
P.Achm.,95067,,
P.Ackerpacht.,95068,,
P.Adl.,3824,,
P.ÄkNo.,95291,,
P.Alex.,6638,,
P.Alex.Giss.,7386,,
P.Amh. 1,95069,,
P.Amh. 2,95070,,
P.Amh.Eg.,95071,,
P.Ammon 1,15468,,
P.Ammon 2,19265,,
P.Amst. 1,9528,,
P.Anag.,95072,,
P.Ant. 1,4632,,
P.Ant. 2,5936,,
P.Ant. 3,7037,,
P.Aphrod.Lit.,15601,,
P.Apoll.,5019,,
P.Ashm. 1,8064,,
P.Assoc.,52117,,
P.Athen.,3892,,
P.Athen.Xyla,13252,,
P.Aust.Herr.,11794,,
P.Auswahl,95073,,
P.Bad. 1,95074,,
P.Bad. 2,95075,,
P.Bad. 3,95076,,
P.Bad. 4,95077,,
P.Bad. 5,3200,,
P.Bad. 6,3721,,
P.Bagnall,95252,,
P.Bal.,5126,,
P.Bas.,95078,,
P.Batav.,9062,,
P.Bawit Clackson,20349,,
P.Beatty 1,3140,,
P.Beatty 1,3141,,
P.Beatty 3,3488,,
P.Beatty 3.1,3244,,
P.Beatty 3.2,3487,,
P.Beatty 4,3245,,
P.Beatty 5,3377,,
P.Beatty 6,3627,,
P.Beatty 7,3747,,
P.Beatty 8,4023,,
P.Benaki,16122,,
P.Berl.Bibl.,95079,,
P.Berl.Bork.,8469,,
P.Berl.Brash.,7994,,
P.Berl.Cohen,19568,,
P.Berl.Dem. 1,56189,,
P.Berl.Dem. 2,9666,,
P.Berl.Frisk,95080,,
P.Berl.Leihg. 1,3046,,
P.Berl.Leihg. 2,9038,,
P.Berl.Möller,95081,,
P.Berl.Salmen.,17122,,
P.Berl.Sarisch.,14174,,
P.Berl.Schmidt,95082,,
P.Berl.Spieg.,95083,,
P.Berl.Thun.,95084,,
P.Berl.Zill.,4056,,
P.Bingen,16093,,
P.Bodl. 1,14543,,
P.Bodm. 1,5142,,
P.Bodm. 10-12,5915,,
P.Bodm. 13,6035,,
P.Bodm. 14-15,6131,,
P.Bodm. 16,95085,,
P.Bodm. 17,6117,,
P.Bodm. 18,95086,,
P.Bodm. 19,95087,,
P.Bodm. 2,5409,,
P.Bodm. 20,6589,,
P.Bodm. 21,95088,,
P.Bodm. 22,95089,,
P.Bodm. 23,95090,,
P.Bodm. 24,7078,,
P.Bodm. 25,7338,,
P.Bodm. 26,7339,,
P.Bodm. 27,50542,,
P.Bodm. 28,51735,,
P.Bodm. 29,10517,,
P.Bodm. 3,95091,,
P.Bodm. 30-37,15608,,
P.Bodm. 38,12366,,
P.Bodm. 4,5722,,
P.Bodm. 45-46,54186,,
P.Bodm. 48,60686,,
P.Bodm. 49,57904,,
P.Bodm. 5,5747,,
P.Bodm. 50,61091,,
P.Bodm. 51,67402,,
P.Bodm. 52,67011,,
P.Bodm. 6,95092,,
P.Bodm. 7-9,5914,,
P.Bon.,5001,,
P.Bour.,95093,,
P.Brem.,3557,,
P.Brit.Mus. 1,95094,,
P.Brit.Mus. 2.1,95095,,
P.Brit.Mus. 3,95096,,
P.Brit.Mus. 4,11956,,
P.Brit.Mus.Reich,95097,,
P.Brookl.,12969,,
P.Brookl.Dem.,18639,,
P.Brookl.Pierce,7928,,
P.Brux. 1,8344,,
P.Brux. 2,12448,,
P.Brux.Bawit,19587,,
P.Brux.Dem.,95098,,
P.Bub. 1,12037,,
P.Bub. 2,15250,,
P.Bürgsch.,95099,,
P.Cair. 1,95101,,
P.Cair. 2,95102,,
P.Cair. 3,95103,,
P.Cair.Cat.,95104,,
P.Cair.Goodsp.,95105,,
P.Cair.Isid.,5941,,
P.Cair.Masp. 1,95106,,
P.Cair.Masp. 2,95107,,
P.Cair.Masp. 3,95108,,
P.Cair.Mich.,8657,,
P.Cair.Mich. 2,95284,,
P.Cair.Preis.,95109,,
P.Cair.Preis. (2nd ed.),95276,,
P.Cair.Salem,19344,,
P.Cair.Zen. 1,95110,,
P.Cair.Zen. 2,95111,,
P.Cair.Zen. 3,95112,,
P.Cair.Zen. 4,95113,,
P.Cair.Zen. 5,3949,,
P.Carlsb. 1,95114,,
P.Carlsb. 2,95115,,
P.Carlsb. 3,95116,,
P.Carlsb. 4,95117,,
P.Carlsb. 5,95118,,
P.Carlsb. 6,95119,,
P.Carlsb. 7,95120,,
P.Carlsb. 8,95121,,
P.Carlsb. 9,95122,,
P.CattleDocs.,95123,,
P.Charite,9563,,
P.Chept.,45271,,
P.Chic.,95124,,
P.Chic.Haw.,14818,,
P.Choach.Survey,13305,,
P.Choix 1,95125,,
P.Choix 2,95126,,
P.Chrest.Nouvelle,95127,,
P.Chrest.Revillout,95128,,
P.Chronik,95129,,
P.Clackson,20696,,
P.CLT,95100,,
P.Col. 1,95130,,
P.Col. 10,14327,,
P.Col. 11,15442,,
P.Col. 2,3104,,
P.Col. 3,3324,,
P.Col. 4,4003,,
P.Col. 5,5337,,
P.Col. 6,5179,,
P.Col. 7,9204,,
P.Col. 8,11957,,
P.Col. 9,15432,,
P.Coles,95290,,
P.Coll.Youtie,8824,,
P.Coll.Youtie,8825,,
P.Congr.XV,9213,,
P.Corn.,95131,,
P.CorpusRevillout 1,95132,,
P.CorpusRevillout 2,95133,,
P.Count,19060,,
P.Customs,11351,,
P.Daris,95287,,
P.David,7155,,
P.Demotica 1,95134,,
P.Demotica 2,95135,,
P.Dime 2,95136,,
P.Diog.,12294,,
P.Dion.Herm,16275,,
P.Diosk.,17397,,
P.Dryton,17154,,
P.Dubl.,14068,,
P.Dura,5924,,
P.Edfou 1,3578,,
P.Edfou 1,36105,,
P.Edfou 2,36492,,
P.Edfou 3,39422,,
P.Egerton,3342,,
P.Egger,95137,,
P.Ehevertr.,95138,,
P.Eirene 1,15219,,
P.Eirene 2,18239,,
P.Eleph.,95139,,
P.Eleph.Dem.,95140,,
P.Eleph.Wagner,15462,,
P.Enteux.,95141,,
P.Erasm. 1,11159,,
P.Erasm. 2,12586,,
P.Erbstreit,95142,,
P.Erl.,4087,,
P.Erl.Diosp.,17065,,
P.Euphrates,64744,,
P.Euphrates,66518,,
P.Euphrates,69039,,
P.Fam.Tebt.,4651,,
P.Fam.Theb.,5762,,
P.Fay.,95143,,
P.Fay.Copt.,95144,,
P.Flor. 1,95145,,
P.Flor. 2,95146,,
P.Flor. 3,95147,,
P.Forshall,95148,,
P.Fouad,3828,,
P.Fouad Astr.,95277,,
P.Frankf.,95149,,
P.Freer,8045,,
P.Freib. 1,95150,,
P.Freib. 2,95151,,
P.Freib. 3,95152,,
P.Freib. 4,10981,,
P.Fuad.Univ.,4443,,
P.Gascou,95292,,
P.Gebelen,95153,,
P.Gen. 1,95154,,
P.Gen. 2,11181,,
P.Gen. 3,14549,,
P.Gen. 4,20984,,
P.Gen.2 1,17127,,
P.Genova 1,8171,,
P.Genova 2,9491,,
P.Genova 3,12511,,
P.Genova 4,95293,,
P.Genova 5,95285,,
P.Giss.,95155,,
P.Giss.Apoll.,15746,,
P.Giss.Lit.,13637,,
P.Giss.Univ. 1,95156,,
P.Giss.Univ. 2,95157,,
P.Giss.Univ. 3,95158,,
P.Giss.Univ. 4,3358,,
P.Giss.Univ. 5,3912,,
P.Giss.Univ. 6,3897,,
P.Giss.Univ. Indices,8733,,
P.Got.,95159,,
P.Grad.,95160,,
P.Graux 1,95006,,
P.Graux 2,13905,,
P.Graux 4,18135,,
P.Grenf. 1,95161,,
P.Grenf. 2,95162,,
P.Gron.,3163,,
P.Gur.,95163,,
P.Hal.,95164,,
P.Hamb. 1,95165,,
P.Hamb. 2,5168,,
P.Hamb. 3,10540,,
P.Hamb. 4,15286,,
P.Harkness,95166,,
P.Harr. 1,3522,,
P.Harr. 2,10770,,
P.Harrauer,16599,,
P.Haun. 1,4073,,
P.Haun. 2,9601,,
P.Haun. 3,10836,,
P.Hausw.,14880,,
P.Heid. 1,5461,,
P.Heid. 10,95278,,
P.Heid. 3,6455,,
P.Heid. 4,11092,,
P.Heid. 5,12107,,
P.Heid. 6,13553,,
P.Heid. 7,14501,,
P.Heid. 8,16511,,
P.Heid. 9,18982,,
P.Hels.,11009,,
P.HengstenbergCopt.,95007,,
P.Herakl.Bank,80627,,
P.Herm.,6616,,
P.Herm.Landl.,9168,,
P.Hermias,95167,,
P.HermitageCopt.,95168,,
P.Hever,14725,,
P.Hib. 1,95169,,
P.Hib. 2,5284,,
P.Holm.,95170,,
P.Hombert 1,9138,,
P.Hombert 2,17509,,
P.Horak,18095,,
P.Horak,73199,,
P.Hou,95171,,
P.Iand. 1,95172,,
P.Iand. 2,95173,,
P.Iand. 3,95174,,
P.Iand. 4,95175,,
P.Iand. 5,95176,,
P.Iand. 6,35029,,
P.Iand. 7,34800,,
P.Iand. 8,36430,,
P.Iand.inv. 653,6287,,
P.Iand.Zen.,20221,,
P.IFAO 1,7753,,
P.IFAO 2,7780,,
P.IFAO 3,8676,,
P.Ital. 1,5280,,
P.Ital. 2,10070,,
P.Ital. 3,5174,,
P.Jena 1,95177,,
P.Jud.Des.Misc.,15928,,
P.Kar.Goodsp.,95179,,
P.Katoché,95180,,
P.Kellis 1,14224,,
P.Kellis 2,14418,,
P.Kellis 2,20051,,
P.Kellis 3,15052,,
P.Kellis 4,14664,,
P.Kellis 5,15712,,
P.Köln 1,8842,,
P.Köln 10,17706,,
P.Köln 11,19894,,
P.Köln 13,95269,,
P.Köln 14,95289,,
P.Köln 2,9119,,
P.Köln 3,9468,,
P.Köln 4,10017,,
P.Köln 5,10802,,
P.Köln 6,11270,,
P.Köln 7,12431,,
P.Köln 8,14792,,
P.Köln 9,16452,,
P.KölnÄgypt.,9470,,
P.KölnLüddeckens,95181,,
P.Kramer,20743,,
P.Kroll,5562,,
P.Kron.,7643,,
P.KRU,95178,,
P.LandLeases,95182,,
P.Laur. 1,8880,,
P.Laur. 2,9023,,
P.Laur. 3,9333,,
P.Laur. 4,10291,,
P.Laur. 5,95183,,
P.LeedsMus.,56102,,
P.Leid. 1,95184,,
P.Leid. 2,95185,,
P.Leid.Dem.,95186,,
P.Leid.Inst.,12444,,
P.Leipz.,95187,,
P.Leit.,6411,,
P.Lesestücke 1,95188,,
P.Libbey,95189,,
P.Lille 1,95190,,
P.Lille 2,95191,,
P.LilleDem. 1,95192,,
P.LilleDem. 2,8012,,
P.LilleDem. 3,95193,,
P.Lips. 1,95194,,
P.Lips. 2,16943,,
P.Loeb,95195,,
P.Lond. 1,95196,,
P.Lond. 2,95197,,
P.Lond. 3,95198,,
P.Lond. 4,95200,,
P.Lond. 5,95199,,
P.Lond. 6,95201,,
P.Lond. 7,8390,,
P.Lond.Copt. 1,95202,,
P.Lond.Copt. 2,95203,,
P.Lond.Herm.,80606,,
P.Lond.Lit.,95347,,
P.Lond.Wasser,16013,,
P.Lonsdorfer,95204,,
P.Louvre 1,15271,,
P.Louvre 2,18650,,
P.Louvre Bawit,95279,,
P.Lund 1,35110,,
P.Lund 3,36031,,
P.Lund 4,4231,,
P.Lund 5,38255,,
P.Lund 6,39772,,
P.Lund.Index,38253,,
P.Mallawi,95205,,
P.Marini,95206,,
P.Marm.,95207,,
P.Masada,11731,,
P.Matr.,12017,,
P.Meerman,95208,,
P.Mert. 1,4343,,
P.Mert. 2,5830,,
P.Mert. 3,7126,,
P.Meyer,95209,,
P.Mich. 1,95210,,
P.Mich. 10,7435,,
P.Mich. 11,7757,,
P.Mich. 13,9031,,
P.Mich. 14,9481,,
P.Mich. 15,10061,,
P.Mich. 16,12504,,
P.Mich. 17,14611,,
P.Mich. 18,14538,,
P.Mich. 19,15615,,
P.Mich. 2,3117,,
P.Mich. 20,80638,,
P.Mich. 3,3559,,
P.Mich. 4.1,3561,,
P.Mich. 4.2,3919,,
P.Mich. 5,4139,,
P.Mich. 6,4164,,
P.Mich. 7,4316,,
P.Mich. 8,4788,,
P.Mich. 9,7666,,
P.Mich.Aphrod.,13571,,
P.Mich.Copt.,95211,,
P.Mich.Mchl.,6930,,
P.Mich.Nims,95212,,
P.Michael,5203,,
P.Mil. 1,95213,,
P.Mil. 2,6859,,
P.Mil.Congr.XIV,49813,,
P.Mil.Congr.XIX,59677,,
P.Mil.Congr.XVII,55527,,
P.Mil.Congr.XVIII,57614,,
P.Mil.Vogl. 1,3671,,
P.Mil.Vogl. 2,6078,,
P.Mil.Vogl. 3,6694,,
P.Mil.Vogl. 4,7050,,
P.Mil.Vogl. 5,95214,,
P.Mil.Vogl. 6,8991,,
P.Mil.Vogl. 7,9641,,
P.Mil.Vogl. 8,16320,,
P.Mon.Epiph.,95215,,
P.Monac.,95216,,
P.Monts.Roca 1,19379,,
P.Monts.Roca 2,95217,,
P.Monts.Roca 4,95251,,
P.MorganLib,95218,,
P.MoscowCopt,95219,,
P.Münch. 1,11075,,
P.Münch. 2,10969,,
P.Münch. 3,11070,,
P.Murabba&apos;ât,6068,,
P.Naqlun 1,13915,,
P.Naqlun 2,20374,,
P.Neph.,11289,,
P.Ness. 1,6223,,
P.Ness. 2,4562,,
P.Ness. 3,5700,,
P.NYU 1,7088,,
P.NYU 2.1,69418,,
P.NYU 2.2,70379,,
P.NYU 2.3,71329,,
P.NYU 2.4,73478,,
P.Oslo 1,95220,,
P.Oslo 2,95221,,
P.Oslo 3,3463,,
P.Oxf.,4095,,
P.Oxf.Griffith,95222,,
P.Oxy. 1,95223,,
P.Oxy. 10,95224,,
P.Oxy. 11,95225,,
P.Oxy. 12,95226,,
P.Oxy. 13,95227,,
P.Oxy. 14,95228,,
P.Oxy. 15,95229,,
P.Oxy. 16,95230,,
P.Oxy. 17,95231,,
P.Oxy. 18,4025,,
P.Oxy. 19,4381,,
P.Oxy. 2,95232,,
P.Oxy. 20,4847,,
P.Oxy. 21,4716,,
P.Oxy. 22,5137,,
P.Oxy. 23,5397,,
P.Oxy. 24,5565,,
P.Oxy. 25,5807,,
P.Oxy. 26,6124,,
P.Oxy. 27,6307,,
P.Oxy. 28,6265,,
P.Oxy. 29,6442,,
P.Oxy. 3,95233,,
P.Oxy. 30,6583,,
P.Oxy. 31,6821,,
P.Oxy. 32,7089,,
P.Oxy. 33,7250,,
P.Oxy. 34,7198,,
P.Oxy. 35,7224,,
P.Oxy. 36,7448,,
P.Oxy. 37,7698,,
P.Oxy. 38,7607,,
P.Oxy. 39,7894,,
P.Oxy. 4,95234,,
P.Oxy. 40,7932,,
P.Oxy. 41,7816,,
P.Oxy. 42,8353,,
P.Oxy. 43,8653,,
P.Oxy. 44,8777,,
P.Oxy. 45,8971,,
P.Oxy. 46,9156,,
P.Oxy. 47,9439,,
P.Oxy. 48,9607,,
P.Oxy. 49,9970,,
P.Oxy. 5,95235,,
P.Oxy. 50,10153,,
P.Oxy. 51,10636,,
P.Oxy. 52,10432,,
P.Oxy. 53,11073,,
P.Oxy. 54,11235,,
P.Oxy. 55,11593,,
P.Oxy. 56,11901,,
P.Oxy. 57,12072,,
P.Oxy. 58,12543,,
P.Oxy. 59,12783,,
P.Oxy. 6,95236,,
P.Oxy. 60,13519,,
P.Oxy. 61,13946,,
P.Oxy. 62,14180,,
P.Oxy. 63,14532,,
P.Oxy. 64,14804,,
P.Oxy. 65,15252,,
P.Oxy. 66,15603,,
P.Oxy. 67,16373,,
P.Oxy. 68,17700,,
P.Oxy. 69,18607,,
P.Oxy. 7,95237,,
P.Oxy. 70,19164,,
P.Oxy. 71,19644,,
P.Oxy. 72,20459,,
P.Oxy. 73,20869,,
P.Oxy. 74,20830,,
P.Oxy. 75,21439,,
P.Oxy. 76,79329,,
P.Oxy. 77,79323,,
P.Oxy. 78,95258,,
P.Oxy. 79,95280,,
P.Oxy. 8,95238,,
P.Oxy. 80,95281,,
P.Oxy. 82,95294,,
P.Oxy. 9,95239,,
P.Oxy.Astr.,15610,,
P.Oxy.Census,14666,,
P.Oxy.Descr.,64221,,
P.Oxy.Hels.,9386,,
P.Pa-Month,95240,,
P.PalauRib,13908,,
P.PalauRib.Lit.,13296,,
P.Panop.,9565,,
P.Panop.Beatty,6631,,
P.Paramone,18001,,
P.Paris,95241,,
P.Petaus,7329,,
P.Petersb.,95002,,
P.Petr. 1,95001,,
P.Petr. 2,95003,,
P.Petr. 3,95004,,
P.Petr.2 1,12377,,
P.Petra 1,16963,,
P.Petra 2,95270,,
P.Petra 3,19489,,
P.Petra 4,80206,,
P.Petrettini,95005,,
P.Phil.,4317,,
P.Pintaudi,81813,,
P.PisaLit.,9074,,
P.Poethke,77672,,
P.Polit.Jud.,16381,,
P.Prag. 1,11577,,
P.Prag. 2,14131,,
P.Prag. 3,21621,,
P.Princ. 2,3486,,
P.Princ. 3,4071,,
P.Princ.Roll,3138,,
P.QasrIbrim,18799,,
P.QuelquesTextes,95008,,
P.Quseir,57606,,
P.Rain.Cent.,10202,,
P.Rain.Unterricht,10813,,
P.Rain.UnterrichtKopt.,12071,,
P.Recueil,9020,,
P.Rein. 2,37066,,
P.Rev.,95009,,
P.RevilloutCopt.,95010,,
P.Ross.Georg. 1,95014,,
P.Ross.Georg. 2,95013,,
P.Ross.Georg. 3,95012,,
P.Ross.Georg. 4,95011,,
P.Ross.Georg. 5,3428,,
P.Ryl. 1,95015,,
P.Ryl. 2,95016,,
P.Ryl. 3,3787,,
P.Ryl. 4,4877,,
P.Ryl.Copt.,95017,,
P.Ryl.Dem. 1,95018,,
P.Ryl.Dem. 2,95019,,
P.Ryl.Dem. 3,95020,,
P.Sakaon,9144,,
P.Sarap.,6171,,
P.Sarga,95021,,
P.Schenkung.,95022,,
P.Scholl,80636,,
P.Schow,95023,,
P.Schøyen,18784,,
P.Schreibertrad.,95024,,
P.Schub.,4638,,
P.Schutzbriefe,95025,,
P.Sel.Warga,11669,,
P.Select,6687,,
P.Siegesfeier,95026,,
P.Sijp.,19840,,
P.Siut,95027,,
P.SlaveryDem.,95028,,
P.Sorb. 1,6844,,
P.Sorb. 2,13577,,
P.Sorb. 3,21351,,
P.Soter.,9327,,
P.Stras. 1,95029,,
P.Stras. 10,95282,,
P.Stras. 2,95030,,
P.Stras. 3,4349,,
P.Stras. 4,6460,,
P.Stras. 5,8068,,
P.Stras. 7,9029,,
P.Stras.Dem.,95031,,
P.Tarich.,95273,,
P.Tebt.Pad. 1,95286,,
P.Tebt.Tait,9035,,
P.Tebt.Wall,10355,,
P.Teos,95032,,
P.TestiBotti,SoSOL/2012/0035,,
P.Thead.,95033,,
P.Theon.,8913,,
P.Thmouis,10827,,
P.Thomas,16439,,
P.Tor.,95034,,
P.Tor.Amen.,9759,,
P.Tor.Botti,45857,,
P.Tor.Choach.,12933,,
P.Trier 1,95298,,
P.Tsenhor,95035,,
P.Turku,95283,,
P.Turner,9754,,
P.Ups.8,3694,,
P.Ups.Frid,9646,,
P.Vars.,3387,,
P.Vat.Aphrod.,9506,,
P.Verpfründung.,95036,,
P.Vet.Aelii,79358,,
P.Vind.Bosw.,4059,,
P.Vind.Sal.,8900,,
P.Vind.Sijp.,6462,,
P.Vind.Tand.,8915,,
P.Vind.Worp,7976,,
P.Warr.,4013,,
P.Wash.Univ. 1,9531,,
P.Wash.Univ. 2,12185,,
P.Wisc. 1,7120,,
P.Wisc. 2,9032,,
P.Worp,20490,,
P.Würzb.,3180,,
P.Yadin 1,11824,,
P.Yadin 2,95037,,
P.Yale 1,7096,,
P.Yale 2,10921,,
P.Yale 3,16656,,
P.YaleCopt.,11106,,
P.Zauzich,18117,,
P.Zen.Dem.,95038,,
P.Zen.Pestm.,9505,,
Pap.Graec.Mag. 2,8361,,
PapCongr 26,81065,,
PSI 1,95268,,
PSI 11,3394,,
PSI 16,95271,,
PSI 2,95267,,
PSI 3,95266,,
PSI 4,95265,,
PSI 5,95264,,
PSI 6,95263,,
PSI 7,95262,,
PSI 8,95261,,
PSI 9,95260,,
PSI Com. 11,95272,,
PSI Com. 6,18448,,
PSI Com. 8,77551,,
PSI Com. 9,79322,,
PSI Congr. 11,6679,,
PSI Congr. 17,10260,,
PSI Congr. 20,12880,,
PSI Congr. 21,14074,,
PSI Corr. 1,9010,,
PSI Il.,16082,,
PSI Od.,9306,,
PSI XV Estr.,6923,,
SB 28,95274,,
SB Kopt. 1,13397,,
SB Kopt. 2,18097,,
SB Kopt. 3,19181,,
SB Kopt. 4,81046,,
Suppl.Mag. 1,12016,,
Suppl.Mag. 2,12729,,
T.Varie,11862,,
UPZ 1,95039,,
UPZ 2,3425,,
UPZ 2,36257,,
